group,user
0,516.0
0,1678.0
1,1998.0
1,1705.0
2,2691.0
2,6627.0
2,1252.0
2,5943.0
2,7002.0
2,704.0
3,2196.0
3,4904.0
4,2195.0
4,1533.0
5,2195.0
5,3583.0
5,2794.0
5,1962.0
6,4934.0
6,4527.0
6,6332.0
7,2108.0
7,6608.0
8,4222.0
8,7547.0
9,4265.0
9,4006.0
10,54.0
10,4475.0
11,4147.0
11,6940.0
11,6785.0
11,6522.0
12,2000.0
12,5842.0
12,1319.0
12,1084.0
13,6344.0
13,2659.0
14,7501.0
14,1420.0
15,426.0
15,1511.0
15,104.0
16,131.0
16,10.0
16,6758.0
17,4020.0
17,63.0
18,5761.0
18,1195.0
19,7003.0
19,3010.0
20,4831.0
20,7002.0
21,4755.0
21,417.0
21,8327.0
22,4244.0
22,7996.0
22,3442.0
22,2343.0
22,168.0
22,7419.0
22,1926.0
22,7700.0
23,5354.0
23,96.0
23,2129.0
24,352.0
24,3723.0
25,2148.0
25,1112.0
25,3799.0
25,1009.0
25,8456.0
26,4023.0
26,5642.0
27,431.0
27,6977.0
28,4344.0
28,7496.0
29,571.0
29,6566.0
29,5298.0
29,4581.0
30,2664.0
30,6294.0
30,7236.0
30,493.0
30,4288.0
30,2283.0
30,8305.0
30,4448.0
30,5435.0
30,5412.0
30,1811.0
31,1748.0
31,5913.0
31,6395.0
31,1884.0
31,3998.0
31,7326.0
32,7211.0
32,4757.0
32,4347.0
33,5928.0
33,6592.0
34,1461.0
34,3774.0
34,7988.0
35,2277.0
35,56.0
36,2983.0
36,8154.0
37,2794.0
37,2280.0
37,6620.0
37,1009.0
37,1218.0
37,7082.0
37,7886.0
37,1962.0
37,1252.0
37,8104.0
37,5766.0
37,7002.0
37,1905.0
37,4617.0
38,2301.0
38,199.0
38,1682.0
39,7284.0
39,2877.0
40,6181.0
40,970.0
40,261.0
41,503.0
41,1009.0
41,15.0
41,4099.0
41,1218.0
41,1905.0
41,269.0
42,5914.0
42,8157.0
43,8.0
43,1624.0
44,6633.0
44,8284.0
44,7967.0
44,5751.0
45,1469.0
45,2480.0
46,6595.0
46,4196.0
47,3256.0
47,5751.0
47,7002.0
48,2051.0
48,6456.0
49,1252.0
49,6496.0
50,1741.0
50,259.0
50,4413.0
50,8456.0
50,1962.0
51,5317.0
51,2072.0
52,2582.0
52,7708.0
53,5153.0
53,2839.0
53,2824.0
53,1579.0
54,4413.0
54,4999.0
54,844.0
54,6332.0
54,7566.0
54,5761.0
55,430.0
55,3583.0
56,7297.0
56,5590.0
56,4134.0
56,8377.0
57,3128.0
57,4054.0
58,5005.0
58,1999.0
58,2920.0
59,2618.0
59,3673.0
60,7034.0
60,7002.0
61,2193.0
61,7077.0
62,7814.0
62,837.0
63,1084.0
63,6594.0
64,4700.0
64,5786.0
65,7605.0
65,5385.0
65,2944.0
66,6337.0
66,2490.0
67,7800.0
67,6277.0
68,5141.0
68,5504.0
69,5237.0
69,5065.0
70,8190.0
70,5664.0
71,6757.0
71,2006.0
71,7002.0
71,7374.0
71,7967.0
72,6885.0
72,7415.0
73,4819.0
73,2763.0
73,7806.0
74,3370.0
74,5121.0
74,905.0
74,5385.0
75,1282.0
75,2430.0
75,871.0
75,3433.0
75,7416.0
75,1801.0
75,2851.0
76,876.0
76,5889.0
76,8516.0
77,5192.0
77,5761.0
78,6079.0
78,7172.0
79,6204.0
79,289.0
80,5365.0
80,1776.0
81,8362.0
81,3779.0
81,7978.0
82,675.0
82,3867.0
83,8450.0
83,4369.0
84,8104.0
84,8194.0
84,7896.0
85,6929.0
85,7124.0
85,2252.0
86,4148.0
86,2920.0
87,3159.0
87,2691.0
87,1271.0
87,6905.0
87,411.0
88,940.0
88,7454.0
89,7007.0
89,3153.0
90,3228.0
90,5808.0
90,5105.0
91,1691.0
91,3564.0
92,5307.0
92,4833.0
92,752.0
92,7097.0
93,3831.0
93,6027.0
94,7886.0
94,1252.0
95,8372.0
95,6758.0
95,5477.0
95,10.0
96,8372.0
96,131.0
96,232.0
97,54.0
97,5854.0
98,1508.0
98,6656.0
99,6449.0
99,7554.0
99,3687.0
99,3119.0
99,6445.0
100,3107.0
100,3942.0
101,3356.0
101,85.0
102,1037.0
102,7742.0
103,1444.0
103,3073.0
104,5859.0
104,2003.0
104,1962.0
105,7566.0
105,4413.0
105,321.0
105,7862.0
105,1741.0
106,3112.0
106,4755.0
107,8156.0
107,5197.0
108,7802.0
108,470.0
109,269.0
109,5601.0
110,1237.0
110,7723.0
111,7220.0
111,5714.0
111,5480.0
112,4307.0
112,6109.0
112,1414.0
113,833.0
113,2063.0
113,236.0
113,5801.0
113,2080.0
113,5076.0
114,2215.0
114,2256.0
115,5943.0
115,7002.0
115,7598.0
115,6452.0
115,567.0
116,8296.0
116,3318.0
116,2983.0
117,290.0
117,5950.0
118,895.0
118,3348.0
119,6452.0
119,1907.0
119,1962.0
119,6627.0
120,4548.0
120,5468.0
121,1154.0
121,1827.0
121,4429.0
122,7632.0
122,1035.0
123,6400.0
123,4016.0
123,705.0
123,3909.0
123,6183.0
123,6619.0
124,2278.0
124,5557.0
125,4607.0
125,7974.0
126,7419.0
126,3442.0
126,7996.0
126,1926.0
126,6174.0
126,2343.0
127,2983.0
127,4644.0
128,382.0
128,4409.0
129,7488.0
129,5572.0
130,4812.0
130,5082.0
131,7569.0
131,1907.0
132,2148.0
132,1252.0
132,6198.0
132,3799.0
133,5472.0
133,8006.0
134,1965.0
134,4458.0
134,390.0
135,8104.0
135,2013.0
136,4249.0
136,980.0
136,5916.0
137,3658.0
137,5632.0
137,1594.0
138,8487.0
138,8120.0
139,5193.0
139,1981.0
140,4050.0
140,2347.0
141,1080.0
141,1140.0
142,7605.0
142,4296.0
142,5385.0
142,5121.0
142,3370.0
142,447.0
142,7133.0
143,5554.0
143,3715.0
144,7905.0
144,6543.0
145,4065.0
145,3152.0
145,469.0
146,7927.0
146,2956.0
147,4907.0
147,5589.0
148,2698.0
148,1176.0
149,7864.0
149,3466.0
150,3817.0
150,4098.0
151,3329.0
151,6378.0
152,3210.0
152,1521.0
153,3224.0
