group,item
0,19900
1,6210
2,6428
3,3720
4,5033
4,2576
4,13788
5,3158
6,4581
7,104
7,143
7,5206
8,14343
8,14762
8,21997
9,13029
9,2857
10,10241
10,20721
10,9472
10,13845
11,17988
12,11537
13,6993
14,18591
14,14402
15,11501
16,5803
16,16314
17,8363
17,20389
17,13046
17,10803
18,13371
18,17124
18,19009
19,16749
19,10075
19,11527
19,16396
19,8611
20,13120
21,22954
22,11760
23,7630
24,4618
24,13987
25,6428
26,23840
26,18150
26,17050
26,3209
27,3416
27,5887
28,4634
28,24429
28,17105
28,20605
28,11603
28,15664
29,14328
29,21146
30,21464
31,11175
32,19776
32,10799
33,20625
34,6041
35,21386
35,846
35,13301
35,12638
36,14157
36,16158
36,13230
36,4146
36,22871
36,2454
36,19461
37,20216
38,8417
39,7764
40,19382
40,23215
40,20255
40,3864
40,10290
40,15052
40,15937
40,17955
40,18055
40,24816
40,8691
40,15595
40,10537
40,20132
40,13783
40,17630
40,23696
40,20040
41,21339
42,7890
42,24446
42,18745
42,10420
43,24883
44,6041
45,12369
45,627
45,21456
45,22544
45,24335
46,18347
47,11483
48,2452
48,22956
49,10704
49,13247
49,9031
50,1253
51,2080
52,22265
52,19641
52,18056
52,21825
53,23774
54,4581
55,9671
55,9327
56,6123
57,3972
58,21318
59,13986
60,9350
60,18363
60,4359
60,17837
61,2729
62,19401
63,11537
63,1297
63,1299
64,21501
65,18689
66,2973
67,7458
68,20966
68,1954
68,12280
68,984
69,3927
70,19899
70,4821
70,14788
70,16154
70,13962
70,11329
70,21579
70,14586
70,3810
70,15533
70,22255
70,14752
71,19237
72,16292
72,9159
72,13516
72,12501
73,5866
74,18689
75,20784
76,824
77,23572
77,8908
77,21932
77,91
78,23814
78,5224
78,24346
79,19928
80,5444
80,9159
80,12303
81,18021
82,5362
83,18849
84,9472
85,12712
85,12310
85,5513
85,1930
85,6166
85,22549
85,6277
85,15433
85,20525
85,17374
85,15216
85,1705
85,12696
85,8896
85,9794
85,22217
85,18763
85,3802
85,11204
85,12545
85,6428
85,17667
86,23804
86,21177
87,22529
87,186
88,19796
88,18689
89,19533
89,18634
89,19050
89,6428
89,1253
89,14042
90,21252
90,10420
91,4479
91,3544
91,21477
91,14882
91,21420
91,24503
91,1717
92,22050
93,13169
93,14747
94,4359
94,7686
94,908
94,24091
94,17139
94,21183
95,17207
95,16175
95,1559
96,17207
97,3670
98,7495
98,15540
98,19576
99,7207
100,16114
100,2034
100,18898
100,2312
100,23216
101,13380
102,13302
102,22949
102,24298
102,17452
102,22243
102,64
102,1926
102,21046
102,1803
102,1025
102,8284
102,6432
102,7274
102,2665
102,2158
102,16711
102,24317
102,11079
102,6623
102,17904
102,6279
102,18157
102,5025
102,2861
102,16603
102,286
102,6537
102,17117
102,15719
102,15363
102,610
102,5008
102,11614
102,22161
102,14600
102,24503
102,1323
102,1371
102,3260
102,5649
102,15436
102,6040
102,5259
102,8908
102,22581
102,3271
102,10825
102,23465
102,17144
102,3032
102,11276
102,16776
102,20575
102,20790
102,13868
102,897
102,13047
102,8962
103,20776
103,930
104,11443
105,6414
106,1251
107,18259
107,17202
107,11213
108,24255
108,12557
109,19050
110,10545
111,10077
112,23939
113,2439
114,24761
114,18437
114,17835
114,8344
114,16127
114,19567
114,15415
114,24276
114,18363
114,8115
115,19050
116,6736
117,2781
118,13916
118,3805
119,6428
120,6123
121,8563
122,6854
122,23500
122,20951
122,1253
122,7230
122,1211
123,24108
124,13214
124,15729
125,15808
126,11760
127,22815
127,7040
127,22974
127,19009
127,12102
127,19276
127,8028
127,15890
127,23675
128,12341
129,474
129,24483
130,22724
130,8558
130,21804
130,3376
131,7006
131,9327
132,20216
133,6165
134,2789
135,12455
135,17950
135,22824
135,13685
136,1800
136,1966
137,20561
138,4959
138,1253
138,9152
138,17837
138,13168
138,24670
138,18071
138,5702
138,9914
139,19882
139,726
139,1270
139,24040
139,17801
139,6414
139,11566
139,3299
139,23005
139,3700
139,24884
139,11947
140,24078
141,24003
142,19796
143,13339
144,14671
144,7510
144,5060
145,19889
146,23632
146,7120
146,19447
147,13097
148,18028
148,5932
148,7334
148,19071
148,23368
148,17573
148,3652
148,8004
149,13995
149,17112
149,23383
149,7000
149,7248
150,14382
150,6259
150,15185
150,11620
150,20437
150,17699
150,6250
150,1682
150,18432
150,18433
151,2726
151,2641
151,17788
151,10435
151,15312
151,15682
151,7100
151,9351
152,24185
152,5226
152,8555
152,21298
152,750
152,11231
152,23312
153,22753
154,22406
155,894
156,11760
157,23894
157,5082
157,1838
158,9312
158,14353
158,12526
159,21464
159,17084
159,22677
159,18751
159,5447
159,4952
159,16555
159,3649
159,15262
159,14692
160,12637
161,21464
162,23568
162,17423
162,15112
162,15994
162,25007
163,25054
164,2398
165,10167
165,19646
165,23918
165,19477
165,19333
165,17340
165,9740
165,18776
165,14788
165,9051
165,8363
166,23173
167,24306
167,7627
167,19638
167,13417
167,14027
167,16583
167,12928
167,6266
167,5107
167,21359
167,2080
167,9200
167,11118
168,21457
169,23291
170,3546
171,529
171,3815
172,10420
173,3391
173,1932
173,12096
174,133
175,16262
175,8344
176,5062
177,19124
178,9327
179,6996
180,5217
181,11707
182,10430
183,18710
184,18624
185,9159
186,21590
186,15876
186,3832
187,11044
188,8469
189,2439
190,4231
191,9528
192,8038
192,11887
193,9327
193,22173
194,11020
195,18660
196,9105
196,4490
196,5214
196,989
197,17281
198,6604
199,21087
200,13593
200,13218
200,10823
200,14738
200,2274
200,3669
201,12946
202,7194
203,18305
204,11193
204,3016
205,11334
205,4359
205,19050
205,15808
206,18044
207,20988
208,7207
208,19326
209,9327
210,9327
211,22371
212,17834
213,11284
214,17285
214,11594
215,1212
216,9630
217,12535
218,24640
218,2288
218,1614
218,14957
218,16607
218,12048
218,3312
219,4359
220,5759
221,12822
221,22611
221,24213
221,10396
221,3896
222,20216
222,11376
223,17587
223,21800
223,3972
223,21727
223,23584
223,13052
223,16551
223,10118
223,22048
223,16839
223,16271
223,10898
224,12248
225,11782
225,15037
226,5592
226,916
227,20381
227,11560
227,10043
227,21626
228,6049
229,24503
230,6172
231,22537
232,14624
233,15369
233,23583
234,8162
235,22311
236,9327
237,16565
237,23118
238,6030
238,6882
239,22535
240,12946
241,19463
241,15269
242,12275
243,15167
244,2267
245,14225
246,15800
246,4137
247,5313
248,23655
248,7510
248,16108
248,13038
248,22878
249,1596
249,5015
250,21698
251,16885
252,18689
253,2039
254,8469
255,10840
256,436
256,20626
256,5015
256,2667
256,5601
257,14840
257,9310
257,6306
257,6459
257,18846
258,24761
259,21590
260,18875
261,180
261,13909
261,6590
261,15930
261,22811
261,15377
261,4305
261,3530
262,4218
263,1253
264,6415
265,23572
265,8825
266,1253
266,22815
267,10112
268,24968
269,7064
270,4000
271,16523
272,9142
273,5239
274,14125
275,6172
275,104
275,10112
275,24006
275,22587
276,5040
277,2763
277,18297
277,20488
277,11640
277,21357
278,22821
278,13087
278,14721
278,18829
279,14940
280,9159
281,3096
282,11220
283,7510
284,22974
284,5025
285,1943
286,17039
286,11156
287,4513
288,9612
289,7394
289,24202
290,10545
291,20576
292,6108
292,9566
292,3323
293,21109
294,4756
295,12686
295,18089
295,1666
295,17118
295,9045
296,20216
297,210
297,12559
297,22805
297,12128
297,14109
297,4207
