user,item
4413,2422
4413,396
4413,2748
4413,3055
4413,1803
4413,24049
4413,21023
4413,14153
4413,23015
4413,16279
2839,125
4413,22529
4413,5979
4413,1796
4413,8663
2839,10965
4413,125
4413,12275
4413,23024
4413,14009
4413,24298
4413,5866
4413,22128
4413,9266
2839,396
4413,2820
4413,8207
4413,1811
4413,22827
4413,19632
1579,22128
2839,15218
1579,15218
1579,2422
1309,2422
1643,2422
2824,2422
5153,2422
1643,16479
2839,12275
1643,12275
1579,23774
2824,12275
2824,14905
5153,15218
2839,2422
2839,22128
5153,12526
1579,925
4413,4249
5153,396
4413,12860
4413,13365
5153,19620
2824,273
2839,23024
2839,5866
2839,12860
2839,14000
2824,12279
1579,23024
1579,24049
2839,24210
5153,2748
1579,8680
1643,23590
1579,3327
2839,25045
1501,26
1579,17573
1501,1653
1579,10127
2839,901
1309,18538
1309,5589
2824,5589
3294,12998
2839,1796
2824,5866
2824,2825
2824,21362
1501,2819
5153,5866
1309,396
1309,25063
1501,18201
2839,14782
1643,396
2839,669
5153,12275
1643,14747
2839,13664
1501,15816
1643,273
1643,6855
2839,1336
2839,5589
1643,3643
1579,901
1579,2570
2839,2570
2839,12230
2839,22754
1579,22754
2824,8908
1579,19294
1643,3944
1309,6359
2839,12373
2824,19632
1579,5231
3294,11056
1579,1336
3294,23393
1501,2619
1501,9152
1643,24276
2824,396
2839,5115
1309,9418
2824,22612
1579,5589
2839,6486
2839,16479
2839,15279
1579,15279
3294,23289
1643,24201
1309,669
1309,24942
2839,10127
1579,12275
1579,396
2824,11586
823,4479
2839,22529
1579,22529
2839,5820
2824,5820
2824,22128
2839,4372
1579,4372
2824,14153
2839,19294
2824,23024
1579,21817
1579,15452
1579,3046
2839,19564
2839,24049
1309,5866
1309,12797
1579,6359
2839,6359
1501,5280
1501,11681
1501,11056
1501,18129
823,2857
823,1003
1579,1796
1501,9266
1643,8795
2839,2718
1579,2718
823,9266
823,22128
1579,5820
2839,5504
1579,5504
3294,12230
1533,17925
1579,12860
3294,2422
1533,22057
1579,12230
2824,17827
366,4003
2824,13478
823,5866
823,4032
823,10937
2839,8663
1579,8663
366,20402
823,8189
823,21381
823,3046
3294,17573
823,7522
1579,10723
2839,10723
823,20405
823,24210
5153,5589
1579,12373
5153,12373
823,13142
823,10127
1579,8566
2839,8566
823,17573
823,26
823,12856
823,24276
3294,901
2839,7651
3294,12331
2839,12329
1579,12329
823,9373
5153,4233
5153,23583
823,6363
2442,13481
5153,125
823,5723
1643,20557
1501,12490
366,5949
3294,12526
823,7073
2188,13819
823,2819
2442,9152
5153,22128
2442,11056
1579,16800
2839,16800
1579,13664
1579,21440
2839,21440
1533,1091
366,6953
2839,1811
5153,20994
823,23775
1501,22612
1533,7353
2839,21418
5153,21418
1579,21418
823,12033
309,4272
5153,12329
823,2748
2839,4999
5153,10601
1643,10601
2839,20608
2839,17382
2442,14560
309,5768
2188,17706
5153,23550
1643,23550
1501,4437
823,265
5153,27
5153,20581
823,20155
309,16059
309,21834
2839,3046
309,21548
309,10723
5153,21805
1643,21805
2188,22299
2188,21723
2188,13667
823,1092
5153,17722
1309,14746
1643,14746
1501,11586
309,16594
3294,1686
1643,1014
309,12230
823,20134
1501,16616
309,22500
2824,24049
5153,901
823,2619
1501,23583
309,17827
2824,20561
823,23285
823,11711
5153,6622
309,1562
3294,13664
823,20663
366,614
309,6226
3294,15963
823,22949
3294,3024
823,12275
5153,26
5153,9266
2839,6574
321,4985
309,5565
321,125
2824,125
5153,1544
4363,1544
1533,9441
309,12033
5153,12230
1533,22301
5153,12465
3294,5329
5153,11056
5153,5932
3294,1644
2824,2748
1579,7651
1643,8004
309,3215
1579,20561
4363,1555
4363,24276
3294,18129
823,12035
823,24212
309,923
3294,16062
823,8678
321,24266
823,13902
2188,18803
321,22754
1533,10300
823,18045
309,15363
5153,16616
1579,16616
321,16616
4753,22330
5153,6486
1579,6486
309,21381
4363,13370
1643,7125
4753,13370
4753,22345
823,19199
823,12052
823,7013
309,8663
1533,8185
309,12856
1533,17470
1533,24394
309,23774
309,3289
4753,648
5153,7651
4753,22827
823,13352
321,5866
1533,22823
1533,8229
3294,19168
1533,21234
823,24712
3294,89
823,1694
4753,13902
4753,16059
3294,13981
823,5362
823,10578
823,14071
5153,15816
823,3834
4753,23285
4753,11399
823,12060
309,27
309,24712
3294,19503
4753,8999
823,1811
1579,13600
823,5437
1533,23799
823,6497
823,18014
823,16059
1533,22507
1533,4844
4753,8908
4753,12275
4753,22128
4753,1371
4753,1796
823,3453
4753,12329
3294,23838
4753,2559
4753,5362
823,20980
4753,12894
4753,21664
3294,24448
4753,23120
823,24049
4753,12230
4753,19620
4753,18989
823,2570
309,14153
4753,24069
1501,22128
1579,3922
4753,116
309,1796
4753,2164
1533,20908
4753,14438
4753,1710
4753,12454
4753,149
4753,13022
4753,11646
4753,16616
1501,10946
4363,13146
1501,18250
1501,648
1533,3307
3294,396
1309,14917
321,22050
321,25063
823,17938
823,20994
3294,16847
1579,16847
3294,20561
823,11461
4753,23557
2442,20531
638,13161
4753,2357
638,18101
4753,14746
4753,6486
4753,17916
4753,23235
4753,23289
321,10092
1533,11807
4753,13711
4753,1934
4753,15366
321,21548
1643,9450
5153,9450
4753,21414
5153,14388
366,21930
4753,22754
1643,21957
1579,19247
5153,19247
1501,9373
1533,1542
823,19247
366,5720
1533,21430
823,10604
823,1678
5153,12797
1533,6780
1643,20744
1533,8489
1533,6797
4753,5589
4753,12465
5153,16779
1501,12465
309,3111
4753,16914
638,4362
4753,19426
638,14942
1533,1036
1533,21893
1533,19077
1533,22976
4753,2850
1643,4233
823,2455
5153,18538
4753,11953
916,5965
1501,7651
1501,11711
4753,925
916,1911
4753,18448
1533,19338
309,11364
1533,9678
4753,12526
823,12329
4753,22855
321,12275
638,4077
638,10137
3294,13344
321,1543
638,12311
5153,18448
5153,2825
823,9194
1579,27
3294,22050
1579,12490
5153,12573
4753,2422
638,23339
5153,22050
5153,2357
321,2357
4753,6553
823,24956
5153,6432
823,20339
823,18538
4753,4437
1533,9568
823,14782
823,23024
823,881
5153,2573
1309,3289
823,12268
823,23289
5153,13887
1501,2500
321,23583
1533,22589
1533,8453
1501,17938
4753,21035
4753,6359
1501,16065
1533,23025
321,10060
4753,7298
309,6312
823,13022
